q_id,topic,query,Ground Truth
1,RE-ELECTION OF MLAS,Who served UP assembly for the longest time?,
2,RE-ELECTION OF MLAS,How many MLAs got reelected in 2022?,195
3,RE-ELECTION OF MLAS,How many MLAs got reelected in 2017?,173
4,RE-ELECTION OF MLAS,How many MLAs got reelected in the last five Assembly Elections?,919
5,RE-ELECTION OF MLAS,How many MLAs got reelected in the last ten Assembly Elections?,
6,RE-ELECTION OF MLAS,How many MLAs of SP got reelected in 2017?,31
7,RE-ELECTION OF MLAS,How many MLAs of SP got reelected in 2022?,54
8,RE-ELECTION OF MLAS,How many MLAs of SP got reelected in the last five elections?,303
9,RE-ELECTION OF MLAS,How many MLAs of BSP got reelected in 2017?,8
10,RE-ELECTION OF MLAS,How many MLAs of BSP got reelected in 2022?,0
11,RE-ELECTION OF MLAS,How many MLAs of BSP got reelected in the last five elections?,152
12,RE-ELECTION OF MLAS,How many MLAs of BJP got reelected in 2017?,126
13,RE-ELECTION OF MLAS,How many MLAs of BJP got reelected in 2022?,130
14,RE-ELECTION OF MLAS,How many MLAs of BJP got reelected in the last five elections?,365
15,RE-ELECTION OF MLAS,How many MLAs of Congress got reelected in 2017?,3
16,RE-ELECTION OF MLAS,How many MLAs of Congress got reelected in 2022?,2
17,RE-ELECTION OF MLAS,How many MLAs of Congress got reelected in the last five elections?,43
18,RE-ELECTION OF MLAS,How many independent MLAs got reelected in 2017?,2
19,RE-ELECTION OF MLAS,How many independent MLAs got reelected in 2022?,0
20,RE-ELECTION OF MLAS,How many independent MLAs got reelected in the last five elections?,12
21,MAXIMUM MARGIN,How many MLAs won with more than one lakh votes in 2022 election?,225
22,MAXIMUM MARGIN,How many MLAs won with more than one lakh votes in 2017 election?,123
23,MAXIMUM MARGIN,How many MLAs won with more than Fifty thousand votes in 2022 election?,403
24,MAXIMUM MARGIN,How many MLAs won with more than Fifty thousand votes in 2017 election?,403
25,MAXIMUM MARGIN,How many MLAs won with more than Twenty Five thousand votes in 2022 election?,403
26,MAXIMUM MARGIN,How many MLAs won with more than Twenty Five thousand votes in 2017 election?,403
27,MAXIMUM MARGIN,Who registered the highest victory margin in the 2022 election?,SUNIL KUMAR SHARMA
28,MAXIMUM MARGIN,Who registered the highest victory margin in the 2017 election?,SUNIL KUMAR SHARMA
29,MAXIMUM MARGIN,Who registered the highest victory margin in the last five elections?,
30,MAXIMUM MARGIN,How many MLAs of BJP have victory margin over ten thousand votes in 2022 election?,254
31,MAXIMUM MARGIN,How many MLAs of Congress have victory margin over ten thousand votes in 2022 election?,2
32,MAXIMUM MARGIN,How many MLAs of BSP have victory margin over ten thousand votes in 2022 election?,1
33,MAXIMUM MARGIN,How many MLAs of SP have victory margin over ten thousand votes in 2022 election?,111
34,MAXIMUM MARGIN,How many MLAs of BJP have victory margin over ten thousand votes in 2017 election?,312
35,MAXIMUM MARGIN,How many MLAs of Congress have victory margin over ten thousand votes in 2017 election?,7
36,MAXIMUM MARGIN,How many MLAs of BSP have victory margin over ten thousand votes in 2017 election?,19
37,MAXIMUM MARGIN,How many MLAs of SP have victory margin over ten thousand votes in 2017 election?,47
38,MINIMUM MARGIN,How many MLAs lost with less than hundred votes in 2022 election?,23
39,MINIMUM MARGIN,How many MLAs lost with less than hundred votes in 2017 election?,18
40,MINIMUM MARGIN,How many MLAs lost with less than five hundred votes in 2022 election?,1120
41,MINIMUM MARGIN,How many MLAs lost with less than five hundred votes in 2017 election?,1103
42,MINIMUM MARGIN,How many MLAs lost with less than one thousand votes in 2022 election?,2209
43,MINIMUM MARGIN,How many MLAs lost with less than one thousand votes in 2017 election?,2405
44,MINIMUM MARGIN,How many MLAs lost with less than five thousand votes in 2022 election?,3505
45,MINIMUM MARGIN,How many MLAs lost with less than five thousand votes in 2017 election?,3860
46,MINIMUM MARGIN,Who registered the lowest victory margin in the 2022 election?,ASHOK KUMAR RANA
47,MINIMUM MARGIN,Who registered the lowest victory margin in the 2017 election?,RAGHVENDRA PRATAP SINGH
48,MINIMUM MARGIN,Who registered the lowest victory margin in the last five elections?,
49,MINIMUM MARGIN,How many MLAs of BJP have victory margin less than five thousand votes in 2022 election?,0
50,MINIMUM MARGIN,How many MLAs of Congress have victory margin less than five thousand votes in 2022 election?,0
51,MINIMUM MARGIN,How many MLAs of BSP have victory margin less than five thousand votes in 2022 election?,0
52,MINIMUM MARGIN,How many MLAs of SP have victory margin less than five thousand votes in 2022 election?,0
53,MINIMUM MARGIN,How many MLAs of BJP have victory margin less than five thousand votes in 2017 election?,0
54,MINIMUM MARGIN,How many MLAs of Congress have victory margin less than five thousand votes in 2017 election?,0
55,MINIMUM MARGIN,How many MLAs of BSP have victory margin less than five thousand votes in 2017election?,0
56,MINIMUM MARGIN,How many MLAs of SP have victory margin less than five thousand votes in 2017 election?,0
57,MAXIMUM CANDIDATES IN A CONSTITUENCY,Which constituency recorded the largest number of candidates in 2022?,JAUNPUR
58,MAXIMUM CANDIDATES IN A CONSTITUENCY,How many candidates contested in 2022 from Aligarh constituency?,12
59,MAXIMUM CANDIDATES IN A CONSTITUENCY,Which constituency recorded the largest number of candidates in 2017?,AGRA SOUTH
60,MAXIMUM CANDIDATES IN A CONSTITUENCY,How many candidates contested in 2017 from Aligarh constituency?,12
61,MAXIMUM CANDIDATES IN A CONSTITUENCY,What was the margin of victory recorded in the constituency where maximum candidates contested the polls in 2022?,
62,MAXIMUM CANDIDATES IN A CONSTITUENCY,What was the voter-turnout in constituency with the largest number of candidates?,
63,MAXIMUM CANDIDATES IN A CONSTITUENCY,How many candidates lost their deposits from the constituency with maximum candidates in the 2022 elections?,
64,MAXIMUM CANDIDATES IN A CONSTITUENCY,How many candidates lost their deposits from the constituency with maximum candidates in the 2017 elections?,
65,MINIMUM CANDIDATES IN THE CONSTITUENCY,Which constituency recorded the minimum number of candidates in 2022?,KARHAL
66,MINIMUM CANDIDATES IN THE CONSTITUENCY,How many candidates contested from the constituency where least number of candidates contested the polls in 2022?,
67,MINIMUM CANDIDATES IN THE CONSTITUENCY,Which constituency recorded the minimum number of candidates in 2017?,HAIDERGARH
68,MINIMUM CANDIDATES IN THE CONSTITUENCY,How many candidates contested from the constituency where least number of candidates contested the polls in 2017?,
69,MINIMUM CANDIDATES IN THE CONSTITUENCY,What was the margin of victory recorded in the constituency where least number of candidates contested the polls in 2022?,
70,MINIMUM CANDIDATES IN THE CONSTITUENCY,What was the voter-turnout in a constituency with the least number of candidates?,
71,MINIMUM CANDIDATES IN THE CONSTITUENCY,How many candidates lost their deposits from the constituency with least number of candidates in the 2022 elections?,
72,MINIMUM CANDIDATES IN THE CONSTITUENCY,How many candidates lost their deposits from the constituency with least number of candidates in the 2017 elections?,
73,NUMBER OF CANDIDATES FIELDED BY PROMINENT PARTIES IN ELECTIONS,Number of candidates fielded by the BJP in 2022?,375
74,NUMBER OF CANDIDATES FIELDED BY PROMINENT PARTIES IN ELECTIONS,Number of candidates fielded by the SP in 2022?,347
75,NUMBER OF CANDIDATES FIELDED BY PROMINENT PARTIES IN ELECTIONS,Number of candidates fielded by the BSP in 2022?,403
76,NUMBER OF CANDIDATES FIELDED BY PROMINENT PARTIES IN ELECTIONS,Number of candidates fielded by the Congress in 2022?,399
77,NUMBER OF CANDIDATES FIELDED BY PROMINENT PARTIES IN ELECTIONS,Number of candidates fielded by the BJP in 2017?,384
78,NUMBER OF CANDIDATES FIELDED BY PROMINENT PARTIES IN ELECTIONS,How many candidates were Number of candidates fielded by the SP in 2017?,311
79,NUMBER OF CANDIDATES FIELDED BY PROMINENT PARTIES IN ELECTIONS,How many candidates were fielded by the BSP in 2017?,403
80,NUMBER OF CANDIDATES FIELDED BY PROMINENT PARTIES IN ELECTIONS,How many candidates were fielded by the Congress in 2017?,114
81,NUMBER OF CANDIDATES FIELDED BY PROMINENT PARTIES IN ELECTIONS,How many independant candidates contested in 2017?,
82,VOTER TURNOUT - URBAN/ RURAL,What is the number of urban constituencies in Uttar Pradesh?,
83,VOTER TURNOUT - URBAN/ RURAL,What is the number of rural constituencies in Uttar Pradesh?,
84,VOTER TURNOUT - URBAN/ RURAL,What is the percentage of rural electors in the state in 2022 polls?,
85,VOTER TURNOUT - URBAN/ RURAL,What is the percentage of urban electors in the state in 2022 polls?,
86,VOTER TURNOUT - URBAN/ RURAL,What is the percentage of rural electors in the state in 2017 polls?,
87,VOTER TURNOUT - URBAN/ RURAL,What is the percentage of urban electors in the state in 2017 polls?,
88,VOTER TURNOUT - URBAN/ RURAL,Can you share the total voter turnout from the rural seats in 2022 polls?,
89,VOTER TURNOUT - URBAN/ RURAL,Can you share the total voter turnout from the urban seats in 2022 polls?,
90,VOTER TURNOUT - URBAN/ RURAL,Can you share the total voter turnout from the rural seats in 2017 polls?,
91,VOTER TURNOUT - URBAN/ RURAL,Can you share the total voter turnout from the urban seats in 2017 polls?,
92,VOTER TURNOUT - URBAN/ RURAL,Which urban constituency recorded the highest voter turnout in 2022 polls?,
93,VOTER TURNOUT - URBAN/ RURAL,Which rural constituency recorded the highest voter turnout in 2022 polls?,
94,VOTER TURNOUT - URBAN/ RURAL,Which urban constituency recorded the lowest voter turnout in 2017 polls?,
95,VOTER TURNOUT - URBAN/ RURAL,Which rural constituency recorded the lowest voter turnout in 2017 polls?,
96,WOMEN CANDIDATES PERFORMANCE,How many women candidates contested in the 2022 elections?,561
97,WOMEN CANDIDATES PERFORMANCE,Which party fielded the maximum number of women candidates in 2022 elections?,INC
98,WOMEN CANDIDATES PERFORMANCE,Women candidates from which party won in maximum numbers in 2022 polls?,BJP
99,WOMEN CANDIDATES PERFORMANCE,How many women candidates were elected in 2022 elections? What is the percentage of the same?,
100,WOMEN CANDIDATES PERFORMANCE,Which constituency witnessed the highest number of women candidates contesting in 2022 elections?,
101,WOMEN CANDIDATES PERFORMANCE,What is the average margin of victory for women candidates in 2022 elections?,9871.8
102,WOMEN CANDIDATES PERFORMANCE,What is the highest margin of victory among women winners in 2022 elections?,ANJULA SINGH MAHAUR
103,WOMEN CANDIDATES PERFORMANCE,Who is the richest women candidates to contest the 2022 elections?,
104,WOMEN CANDIDATES PERFORMANCE,Who is the poorest women candidate to contest the 2022 elections?,
105,WOMEN CANDIDATES PERFORMANCE,How many women candidates contested in the 2017 elections?,482
106,WOMEN CANDIDATES PERFORMANCE,How many women candidates were elected in 2017 elections? What is the percentage of the same?,
107,WOMEN CANDIDATES PERFORMANCE,Which party fielded the maximum number of women candidates in 2017 elections?,IND
108,WOMEN CANDIDATES PERFORMANCE,Women candidates from which party won in maximum numbers in 2017 polls?,BJP
109,WOMEN CANDIDATES PERFORMANCE,Which constituency witnessed the highest number of women candidates contesting in 2017 elections?,AMETHI
110,WOMEN CANDIDATES PERFORMANCE,What is the average margin of victory for women candidates in 2017 elections?,30675.3
111,WOMEN CANDIDATES PERFORMANCE,What is the highest margin of victory among women winners in 2017 elections?,MANISHA ANURAGI
112,WOMEN CANDIDATES PERFORMANCE,How many men candidates were elected in 2017 elections? What is the percentage of the same?,
113,WOMEN CANDIDATES PERFORMANCE,Who is the richest women candidates to contest the 2017 elections?,
114,WOMEN CANDIDATES PERFORMANCE,Who is the poorest women candidate to contest the 2017 elections?,
115,WOMEN CANDIDATES PERFORMANCE,"In which year, did the maximum number of women contested in UP elections?",583-2012
116,MALE TO FEMALE CANDIDATE RATIO,How many male candidates contested in 2022 assembly polls?,3878
117,MALE TO FEMALE CANDIDATE RATIO,How many women candidates contested in 2022 assembly polls?,561
118,MALE TO FEMALE CANDIDATE RATIO,How many male candidates contested in 2017 assembly polls?,4370
119,MALE TO FEMALE CANDIDATE RATIO,How many women candidates contested in 2017 assembly polls?,482
120,MALE TO FEMALE CANDIDATE RATIO,Which constituency recorded the highest female candidates in 2022 elections?,BALHA
121,MALE TO FEMALE CANDIDATE RATIO,Which constituency recorded the highest female candidates in 2017 elections?,AMETHI
122,MALE TO FEMALE CANDIDATE RATIO,From how many constituencies did women contest the polls in 2022?,
123,MALE TO FEMALE CANDIDATE RATIO,From how many constituencies did women contest the polls in 2017?,
