q_id,topic,query,Ground Truth,,Result,
1,RE-ELECTION OF MLAS,Who served UP assembly for the longest time?,,,MULAYAM SINGH YADAV served UP assembly for the longest time with 11 terms.,
2,RE-ELECTION OF MLAS,How many MLAs got reelected in 2022?,195,,195 MLAs got reelected in 2022.,
3,RE-ELECTION OF MLAS,How many MLAs got reelected in 2017?,173,,173 MLAs got reelected in 2017.,
4,RE-ELECTION OF MLAS,How many MLAs got reelected in the last five Assembly Elections?,919,,919 MLAs got reelected in the last five Assembly Elections.,
5,RE-ELECTION OF MLAS,How many MLAs got reelected in the last ten Assembly Elections?,,,1731 MLAs got reelected in the last ten Assembly Elections.,
6,RE-ELECTION OF MLAS,How many MLAs of SP got reelected in 2017?,31,,31 MLAs of SP got reelected in 2017.,
7,RE-ELECTION OF MLAS,How many MLAs of SP got reelected in 2022?,54,,54 MLAs of SP got reelected in 2022.,
8,RE-ELECTION OF MLAS,How many MLAs of SP got reelected in the last five elections?,303,,303 MLAs of SP got reelected in the last five elections.,
9,RE-ELECTION OF MLAS,How many MLAs of BSP got reelected in 2017?,8,,8 MLAs of BSP got reelected in 2017.,
10,RE-ELECTION OF MLAS,How many MLAs of BSP got reelected in 2022?,0,,0 MLAs of BSP got reelected in 2022.,
11,RE-ELECTION OF MLAS,How many MLAs of BSP got reelected in the last five elections?,152,,152 MLAs of BSP got reelected in the last five elections.,
12,RE-ELECTION OF MLAS,How many MLAs of BJP got reelected in 2017?,126,,126 MLAs of BJP got reelected in 2017.,
13,RE-ELECTION OF MLAS,How many MLAs of BJP got reelected in 2022?,130,,130 MLAs of BJP got reelected in 2022.,
14,RE-ELECTION OF MLAS,How many MLAs of BJP got reelected in the last five elections?,365,,365 MLAs of BJP got reelected in the last five elections.,
15,RE-ELECTION OF MLAS,How many MLAs of Congress got reelected in 2017?,3,,3 MLAs of Congress got reelected in 2017.,
16,RE-ELECTION OF MLAS,How many MLAs of Congress got reelected in 2022?,2,,2 MLAs of Congress got reelected in 2022.,
17,RE-ELECTION OF MLAS,How many MLAs of Congress got reelected in the last five elections?,43,,43 MLAs of Congress got reelected in the last five elections.,
18,RE-ELECTION OF MLAS,How many independent MLAs got reelected in 2017?,2,,2,
19,RE-ELECTION OF MLAS,How many independent MLAs got reelected in 2022?,0,,0,
20,RE-ELECTION OF MLAS,How many independent MLAs got reelected in the last five elections?,12,,12 independent MLAs got reelected in the last five elections.,
21,MAXIMUM MARGIN,How many MLAs won with more than one lakh votes in 2022 election?,225,,225 MLAs won with more than one lakh votes in the 2022 election.,
22,MAXIMUM MARGIN,How many MLAs won with more than one lakh votes in 2017 election?,123,,123 MLAs won with more than one lakh votes in the 2017 election.,
23,MAXIMUM MARGIN,How many MLAs won with more than Fifty thousand votes in 2022 election?,403,,403 MLAs won with more than Fifty thousand votes in the 2022 election.,
24,MAXIMUM MARGIN,How many MLAs won with more than Fifty thousand votes in 2017 election?,403,,403 MLAs won with more than Fifty thousand votes in the 2017 election.,
25,MAXIMUM MARGIN,How many MLAs won with more than Twenty Five thousand votes in 2022 election?,403,,403 MLAs won with more than Twenty Five thousand votes in the 2022 election.,
26,MAXIMUM MARGIN,How many MLAs won with more than Twenty Five thousand votes in 2017 election?,403,,403 MLAs won with more than Twenty Five thousand votes in the 2017 election.,
27,MAXIMUM MARGIN,Who registered the highest victory margin in the 2022 election?,SUNIL KUMAR SHARMA,,SUNIL KUMAR SHARMA registered the highest victory margin in the 2022 election with a margin of 214,835 votes.
28,MAXIMUM MARGIN,Who registered the highest victory margin in the 2017 election?,SUNIL KUMAR SHARMA,,SUNIL KUMAR SHARMA registered the highest victory margin in the 2017 election with a margin of 150,685 votes.
29,MAXIMUM MARGIN,Who registered the highest victory margin in the last five elections?,,,SUNIL KUMAR SHARMA registered the highest victory margin in the last five elections.,
30,MAXIMUM MARGIN,How many MLAs of BJP have victory margin over ten thousand votes in 2022 election?,254,,There are 192 MLAs of BJP who have a victory margin over ten thousand votes in the 2022 election.,
31,MAXIMUM MARGIN,How many MLAs of Congress have victory margin over ten thousand votes in 2022 election?,2,,1 MLA of Congress has a victory margin over ten thousand votes in the 2022 election.,
32,MAXIMUM MARGIN,How many MLAs of BSP have victory margin over ten thousand votes in 2022 election?,1,,0 MLAs of BSP have victory margin over ten thousand votes in the 2022 election.,
33,MAXIMUM MARGIN,How many MLAs of SP have victory margin over ten thousand votes in 2022 election?,111,,There are 65 MLAs of SP who have a victory margin over ten thousand votes in the 2022 election.,
34,MAXIMUM MARGIN,How many MLAs of BJP have victory margin over ten thousand votes in 2017 election?,312,,There were 276 MLAs of BJP who had a victory margin over ten thousand votes in the 2017 election.,
35,MAXIMUM MARGIN,How many MLAs of Congress have victory margin over ten thousand votes in 2017 election?,7,,There were 5 MLAs of Congress who had a victory margin over ten thousand votes in the 2017 election.,
36,MAXIMUM MARGIN,How many MLAs of BSP have victory margin over ten thousand votes in 2017 election?,19,,There were 5 MLAs of BSP who had a victory margin over ten thousand votes in the 2017 election.,
37,MAXIMUM MARGIN,How many MLAs of SP have victory margin over ten thousand votes in 2017 election?,47,,25 MLAs of SP have victory margin over ten thousand votes in the 2017 election.,
38,MINIMUM MARGIN,How many MLAs lost with less than hundred votes in 2022 election?,23,,23 MLAs lost with less than hundred votes in the 2022 election.,
39,MINIMUM MARGIN,How many MLAs lost with less than hundred votes in 2017 election?,18,,18 MLAs lost with less than hundred votes in the 2017 election.,
40,MINIMUM MARGIN,How many MLAs lost with less than five hundred votes in 2022 election?,1120,,1120 MLAs lost with less than five hundred votes in the 2022 election.,
41,MINIMUM MARGIN,How many MLAs lost with less than five hundred votes in 2017 election?,1103,,1103 MLAs lost with less than five hundred votes in the 2017 election.,
42,MINIMUM MARGIN,How many MLAs lost with less than one thousand votes in 2022 election?,2209,,2209 MLAs lost with less than one thousand votes in the 2022 election.,
43,MINIMUM MARGIN,How many MLAs lost with less than one thousand votes in 2017 election?,2405,,2407 MLAs lost with less than one thousand votes in the 2017 election.,
44,MINIMUM MARGIN,How many MLAs lost with less than five thousand votes in 2022 election?,3505,,3505 MLAs lost with less than five thousand votes in the 2022 election.,
45,MINIMUM MARGIN,How many MLAs lost with less than five thousand votes in 2017 election?,3860,,3862 MLAs lost with less than five thousand votes in the 2017 election.,
46,MINIMUM MARGIN,Who registered the lowest victory margin in the 2022 election?,ASHOK KUMAR RANA,,ASHOK KUMAR RANA registered the lowest victory margin in the 2022 election with a margin of 203 votes.,
47,MINIMUM MARGIN,Who registered the lowest victory margin in the 2017 election?,RAGHVENDRA PRATAP SINGH,,RAGHVENDRA PRATAP SINGH registered the lowest victory margin in the 2017 election with a margin of 171 votes.,
48,MINIMUM MARGIN,Who registered the lowest victory margin in the last five elections?,,,ATAURREHMAN registered the lowest victory margin in the last five elections.,
49,MINIMUM MARGIN,How many MLAs of BJP have victory margin less than five thousand votes in 2022 election?,0,,There are 27 MLAs of BJP who have a victory margin less than five thousand votes in the 2022 election.,
50,MINIMUM MARGIN,How many MLAs of Congress have victory margin less than five thousand votes in 2022 election?,0,,1 MLA of Congress has a victory margin less than five thousand votes in the 2022 election.,
51,MINIMUM MARGIN,How many MLAs of BSP have victory margin less than five thousand votes in 2022 election?,0,,0 MLAs of BSP have a victory margin less than five thousand votes in the 2022 election.,
52,MINIMUM MARGIN,How many MLAs of SP have victory margin less than five thousand votes in 2022 election?,0,,21 MLAs of SP have victory margin less than five thousand votes in the 2022 election.,
53,MINIMUM MARGIN,How many MLAs of BJP have victory margin less than five thousand votes in 2017 election?,0,,23 MLAs of BJP have victory margin less than five thousand votes in the 2017 election.,
54,MINIMUM MARGIN,How many MLAs of Congress have victory margin less than five thousand votes in 2017 election?,0,,1 MLA of Congress had a victory margin less than five thousand votes in the 2017 election.,
55,MINIMUM MARGIN,How many MLAs of BSP have victory margin less than five thousand votes in 2017election?,0,,There were 8 MLAs of BSP who had a victory margin less than five thousand votes in the 2017 election.,
56,MINIMUM MARGIN,How many MLAs of SP have victory margin less than five thousand votes in 2017 election?,0,,There were 13 MLAs of SP who had a victory margin less than five thousand votes in the 2017 election.,
57,MAXIMUM CANDIDATES IN A CONSTITUENCY,Which constituency recorded the largest number of candidates in 2022?,JAUNPUR,,PRATAPPUR constituency recorded the largest number of candidates in 2022.,
58,MAXIMUM CANDIDATES IN A CONSTITUENCY,How many candidates contested in 2022 from Aligarh constituency?,12,,12 candidates contested in 2022 from Aligarh constituency.,
59,MAXIMUM CANDIDATES IN A CONSTITUENCY,Which constituency recorded the largest number of candidates in 2017?,AGRA SOUTH,,ALLAHABAD NORTH constituency recorded the largest number of candidates in 2017 with 27 candidates.,
60,MAXIMUM CANDIDATES IN A CONSTITUENCY,How many candidates contested in 2017 from Aligarh constituency?,12,,12 candidates contested in 2017 from Aligarh constituency.,
61,MAXIMUM CANDIDATES IN A CONSTITUENCY,What was the margin of victory recorded in the constituency where maximum candidates contested the polls in 2022?,,,The margin of victory recorded in the constituency where the maximum candidates contested the polls in 2022 was 10,956 votes.
62,MAXIMUM CANDIDATES IN A CONSTITUENCY,What was the voter-turnout in constituency with the largest number of candidates?,,,The voter-turnout in the constituency with the largest number of candidates was 32%.,
63,MAXIMUM CANDIDATES IN A CONSTITUENCY,How many candidates lost their deposits from the constituency with maximum candidates in the 2022 elections?,,,23 candidates lost their deposits from the constituency with the maximum candidates in the 2022 elections.,
64,MAXIMUM CANDIDATES IN A CONSTITUENCY,How many candidates lost their deposits from the constituency with maximum candidates in the 2017 elections?,,,24 candidates lost their deposits from the constituency with the maximum candidates in the 2017 elections.,
65,MINIMUM CANDIDATES IN THE CONSTITUENCY,Which constituency recorded the minimum number of candidates in 2022?,KARHAL,,"The constituency that recorded the minimum number of candidates in 2022 is ""KARHAL"" with 4 candidates.",
66,MINIMUM CANDIDATES IN THE CONSTITUENCY,How many candidates contested from the constituency where least number of candidates contested the polls in 2022?,,,4 candidates contested from the constituency where the least number of candidates contested the polls in 2022.,
67,MINIMUM CANDIDATES IN THE CONSTITUENCY,Which constituency recorded the minimum number of candidates in 2017?,HAIDERGARH,,HAIDERGARH,
68,MINIMUM CANDIDATES IN THE CONSTITUENCY,How many candidates contested from the constituency where least number of candidates contested the polls in 2017?,,,4 candidates contested from the constituency where the least number of candidates contested the polls in 2017.,
69,MINIMUM CANDIDATES IN THE CONSTITUENCY,What was the margin of victory recorded in the constituency where least number of candidates contested the polls in 2022?,,,The margin of victory recorded in the constituency where the least number of candidates contested the polls in 2022 was 67,504 votes.
70,MINIMUM CANDIDATES IN THE CONSTITUENCY,What was the voter-turnout in a constituency with the least number of candidates?,,,The voter-turnout in the constituency with the least number of candidates was 58.52%.,
71,MINIMUM CANDIDATES IN THE CONSTITUENCY,How many candidates lost their deposits from the constituency with least number of candidates in the 2022 elections?,,,1 candidate lost their deposit from the constituency with the least number of candidates in the 2022 elections.,
72,MINIMUM CANDIDATES IN THE CONSTITUENCY,How many candidates lost their deposits from the constituency with least number of candidates in the 2017 elections?,,,0 candidates lost their deposits from the constituency with the least number of candidates in the 2017 elections.,
73,NUMBER OF CANDIDATES FIELDED BY PROMINENT PARTIES IN ELECTIONS,Number of candidates fielded by the BJP in 2022?,375,,Number of candidates fielded by the BJP in 2022 is 376.,
74,NUMBER OF CANDIDATES FIELDED BY PROMINENT PARTIES IN ELECTIONS,Number of candidates fielded by the SP in 2022?,347,,Number of candidates fielded by the SP in 2022 is 347.,
75,NUMBER OF CANDIDATES FIELDED BY PROMINENT PARTIES IN ELECTIONS,Number of candidates fielded by the BSP in 2022?,403,,Number of candidates fielded by the BSP in 2022 is 403.,
76,NUMBER OF CANDIDATES FIELDED BY PROMINENT PARTIES IN ELECTIONS,Number of candidates fielded by the Congress in 2022?,399,,Number of candidates fielded by the Congress in 2022 is 399.,
77,NUMBER OF CANDIDATES FIELDED BY PROMINENT PARTIES IN ELECTIONS,Number of candidates fielded by the BJP in 2017?,384,,384,
78,NUMBER OF CANDIDATES FIELDED BY PROMINENT PARTIES IN ELECTIONS,How many candidates were Number of candidates fielded by the SP in 2017?,311,,311 candidates were fielded by the SP in 2017.,
79,NUMBER OF CANDIDATES FIELDED BY PROMINENT PARTIES IN ELECTIONS,How many candidates were fielded by the BSP in 2017?,403,,403 candidates were fielded by the BSP in 2017.,
80,NUMBER OF CANDIDATES FIELDED BY PROMINENT PARTIES IN ELECTIONS,How many candidates were fielded by the Congress in 2017?,114,,114 candidates were fielded by the Congress in 2017.,
81,NUMBER OF CANDIDATES FIELDED BY PROMINENT PARTIES IN ELECTIONS,How many independant candidates contested in 2017?,,,1462,
82,VOTER TURNOUT - URBAN/ RURAL,What is the number of urban constituencies in Uttar Pradesh?,,,0,
83,VOTER TURNOUT - URBAN/ RURAL,What is the number of rural constituencies in Uttar Pradesh?,,,0,
84,VOTER TURNOUT - URBAN/ RURAL,What is the percentage of rural electors in the state in 2022 polls?,,,The percentage of rural electors in the state in the 2022 polls is not available in the database.,
85,VOTER TURNOUT - URBAN/ RURAL,What is the percentage of urban electors in the state in 2022 polls?,,,The percentage of urban electors in the state in the 2022 polls is not available in the database.,
86,VOTER TURNOUT - URBAN/ RURAL,What is the percentage of rural electors in the state in 2017 polls?,,,The percentage of rural electors in the state in the 2017 polls is not available in the database.,
87,VOTER TURNOUT - URBAN/ RURAL,What is the percentage of urban electors in the state in 2017 polls?,,,The percentage of urban electors in the state in the 2017 polls is not available in the database.,
88,VOTER TURNOUT - URBAN/ RURAL,Can you share the total voter turnout from the rural seats in 2022 polls?,,,Total voter turnout from the rural seats in 2022 polls is not available in the database.,
89,VOTER TURNOUT - URBAN/ RURAL,Can you share the total voter turnout from the urban seats in 2022 polls?,,,Total voter turnout from the urban seats in 2022 polls is None.,
90,VOTER TURNOUT - URBAN/ RURAL,Can you share the total voter turnout from the rural seats in 2017 polls?,,,Total voter turnout from the rural seats in 2017 polls is not available in the database.,
91,VOTER TURNOUT - URBAN/ RURAL,Can you share the total voter turnout from the urban seats in 2017 polls?,,,Total voter turnout from the urban seats in 2017 polls is not available in the database.,
92,VOTER TURNOUT - URBAN/ RURAL,Which urban constituency recorded the highest voter turnout in 2022 polls?,,,NAKUR constituency recorded the highest voter turnout in the 2022 polls with a turnout percentage of 76.06%.,
93,VOTER TURNOUT - URBAN/ RURAL,Which rural constituency recorded the highest voter turnout in 2022 polls?,,,There are no results for the given query.,
94,VOTER TURNOUT - URBAN/ RURAL,Which urban constituency recorded the lowest voter turnout in 2017 polls?,,,ALLAHABAD NORTH,
95,VOTER TURNOUT - URBAN/ RURAL,Which rural constituency recorded the lowest voter turnout in 2017 polls?,,,There is no data available for the rural constituency with the lowest voter turnout in the 2017 polls.,
96,WOMEN CANDIDATES PERFORMANCE,How many women candidates contested in the 2022 elections?,561,,561 women candidates contested in the 2022 elections.,
97,WOMEN CANDIDATES PERFORMANCE,Which party fielded the maximum number of women candidates in 2022 elections?,INC,,The party that fielded the maximum number of women candidates in the 2022 elections is the Indian National Congress (INC) with 155 women candidates.,
98,WOMEN CANDIDATES PERFORMANCE,Women candidates from which party won in maximum numbers in 2022 polls?,BJP,,Women candidates from BJP won in maximum numbers in the 2022 polls.,
99,WOMEN CANDIDATES PERFORMANCE,How many women candidates were elected in 2022 elections? What is the percentage of the same?,,,There were 47 women candidates elected in the 2022 elections. The percentage of women candidates elected is not provided in the given data.,
100,WOMEN CANDIDATES PERFORMANCE,Which constituency witnessed the highest number of women candidates contesting in 2022 elections?,,,The constituency that witnessed the highest number of women candidates contesting in the 2022 elections is CHHIBRAMAU with 5 women candidates.,
101,WOMEN CANDIDATES PERFORMANCE,What is the average margin of victory for women candidates in 2022 elections?,9871.8,,The average margin of victory for women candidates in the 2022 elections is 20030.74,
102,WOMEN CANDIDATES PERFORMANCE,What is the highest margin of victory among women winners in 2022 elections?,,,The highest margin of victory among women winners in the 2022 elections is 100856 votes.,
103,WOMEN CANDIDATES PERFORMANCE,Who is the richest women candidates to contest the 2022 elections?,ANJULA SINGH MAHAUR,,The richest women candidates to contest the 2022 elections are:,
104,WOMEN CANDIDATES PERFORMANCE,Who is the poorest women candidate to contest the 2022 elections?,,,The poorest women candidate to contest the 2022 elections is Guddi Dixit from the Rashtriya Viklang Party with 77 votes.,
105,WOMEN CANDIDATES PERFORMANCE,How many women candidates contested in the 2017 elections?,482,,482 women candidates contested in the 2017 elections.,
106,WOMEN CANDIDATES PERFORMANCE,How many women candidates were elected in 2017 elections? What is the percentage of the same?,,,There were 42 women candidates elected in the 2017 elections. The percentage of women candidates elected is not provided in the query result.,
107,WOMEN CANDIDATES PERFORMANCE,Which party fielded the maximum number of women candidates in 2017 elections?,IND,,The party that fielded the maximum number of women candidates in the 2017 elections is Independent (IND) with 143 women candidates.,
108,WOMEN CANDIDATES PERFORMANCE,Women candidates from which party won in maximum numbers in 2017 polls?,BJP,,Women candidates from BJP,
109,WOMEN CANDIDATES PERFORMANCE,Which constituency witnessed the highest number of women candidates contesting in 2017 elections?,AMETHI,,The constituency that witnessed the highest number of women candidates contesting in the 2017 elections is Amethi with 7 women candidates.,
110,WOMEN CANDIDATES PERFORMANCE,What is the average margin of victory for women candidates in 2017 elections?,30675.3,,The average margin of victory for women candidates in the 2017 elections is 30675.29,
111,WOMEN CANDIDATES PERFORMANCE,What is the highest margin of victory among women winners in 2017 elections?,MANISHA ANURAGI,,The highest margin of victory among women winners in the 2017 elections is 104643 votes.,
112,WOMEN CANDIDATES PERFORMANCE,How many men candidates were elected in 2017 elections? What is the percentage of the same?,,,There were 361 men candidates elected in the 2017 elections. The percentage of men candidates elected in the 2017 elections is not provided in the given data.,
113,WOMEN CANDIDATES PERFORMANCE,Who is the richest women candidates to contest the 2017 elections?,,,The richest women candidate to contest the 2017 elections is Manisha Anuragi from the BJP party with 147526 votes.,
114,WOMEN CANDIDATES PERFORMANCE,Who is the poorest women candidate to contest the 2017 elections?,,,The poorest women candidate to contest the 2017 elections is Babita from the BRJ party with 55 votes.,
115,WOMEN CANDIDATES PERFORMANCE,"In which year, did the maximum number of women contested in UP elections?",,In which year?,"In the year 2012, the maximum number of women contested in UP elections.",
116,MALE TO FEMALE CANDIDATE RATIO,How many male candidates contested in 2022 assembly polls?,3878,,3878,
117,MALE TO FEMALE CANDIDATE RATIO,How many women candidates contested in 2022 assembly polls?,561,,561 women candidates contested in the 2022 assembly polls.,
118,MALE TO FEMALE CANDIDATE RATIO,How many male candidates contested in 2017 assembly polls?,4370,,4370,
119,MALE TO FEMALE CANDIDATE RATIO,How many women candidates contested in 2017 assembly polls?,482,,482 women candidates contested in the 2017 assembly polls.,
120,MALE TO FEMALE CANDIDATE RATIO,Which constituency recorded the highest female candidates in 2022 elections?,BALHA,,The constituency that recorded the highest number of female candidates in the 2022 elections is CHHIBRAMAU.,
121,MALE TO FEMALE CANDIDATE RATIO,Which constituency recorded the highest female candidates in 2017 elections?,AMETHI,,AMETHI,
122,MALE TO FEMALE CANDIDATE RATIO,From how many constituencies did women contest the polls in 2022?,,,Women contested the polls from 318 constituencies in 2022.,
123,MALE TO FEMALE CANDIDATE RATIO,From how many constituencies did women contest the polls in 2017?,,,Women contested the polls from 268 constituencies in 2017.,
