q_id,topic,query,,
1,RE-ELECTION OF MLAS,Who served UP assembly for the longest time?,SELECT Candidate_Name, MAX(No_Terms) FROM Uttar_Pradesh_AE
2,RE-ELECTION OF MLAS,How many MLAs got reelected in 2022?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Year=2022 AND Recontest=1 AND Position=1,
3,RE-ELECTION OF MLAS,How many MLAs got reelected in 2017?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Year=2017 AND Recontest=1 AND Position=1,
4,RE-ELECTION OF MLAS,How many MLAs got reelected in the last five Assembly Elections?,"SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Recontest=1 AND Position=1 AND Year IN (2022, 2017, 2012, 2007, 2002)",
5,RE-ELECTION OF MLAS,How many MLAs got reelected in the last ten Assembly Elections?,"SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Recontest=1 AND Position=1 AND Year IN (2022, 2017, 2012, 2007, 2002)",
6,RE-ELECTION OF MLAS,How many MLAs of SP got reelected in 2017?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Party='SP' AND Year=2017 AND Recontest=1 AND Position=1,
7,RE-ELECTION OF MLAS,How many MLAs of SP got reelected in 2022?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Party='SP' AND Recontest=1 AND Year=2022 AND Position=1,
8,RE-ELECTION OF MLAS,How many MLAs of SP got reelected in the last five elections?,"SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Party='SP' AND Recontest=1 AND Position=1 AND Year IN (2022, 2017, 2012, 2007, 2002)",
9,RE-ELECTION OF MLAS,How many MLAs of BSP got reelected in 2017?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Party='BSP' AND Year=2017 AND Recontest=1 AND Position=1,
10,RE-ELECTION OF MLAS,How many MLAs of BSP got reelected in 2022?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Party='BSP' AND Recontest=1 AND Year=2022 AND Position=1,
11,RE-ELECTION OF MLAS,How many MLAs of BSP got reelected in the last five elections?,"SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Party='BSP' AND Recontest=1 AND Position=1 AND Year IN (2022, 2017, 2012, 2007, 2002)",
12,RE-ELECTION OF MLAS,How many MLAs of BJP got reelected in 2017?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Party='BJP' AND Recontest=1 AND Year=2017 AND Position=1,
13,RE-ELECTION OF MLAS,How many MLAs of BJP got reelected in 2022?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Party='BJP' AND Recontest=1 AND Year=2022 AND Position=1,
14,RE-ELECTION OF MLAS,How many MLAs of BJP got reelected in the last five elections?,"SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Party='BJP' AND Recontest=1 AND Position=1 AND Year IN (2022, 2017, 2012, 2007, 2002)",
15,RE-ELECTION OF MLAS,How many MLAs of Congress got reelected in 2017?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Party='INC' AND Recontest=1 AND Year=2017,
16,RE-ELECTION OF MLAS,How many MLAs of Congress got reelected in 2022?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Party='INC' AND Recontest=1 AND Year=2022,
17,RE-ELECTION OF MLAS,How many MLAs of Congress got reelected in the last five elections?,"SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Party='INC' AND Recontest=1 AND Position=1 AND Year IN (2022, 2017, 2012, 2007, 2002)",
18,RE-ELECTION OF MLAS,How many independent MLAs got reelected in 2017?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Year=2017 AND Party='IND' AND Recontest=1 AND Position=1,
19,RE-ELECTION OF MLAS,How many independent MLAs got reelected in 2022?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Party='IND' AND Recontest=1 AND Year=2022,
20,RE-ELECTION OF MLAS,How many independent MLAs got reelected in the last five elections?,"SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Party='IND' AND Recontest=1 AND Position=1 AND Year IN (2022, 2017, 2012, 2007, 2002)",
21,MAXIMUM MARGIN,How many MLAs won with more than one lakh votes in 2022 election?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Year=2022 AND Position=1 AND Votes>100000,
22,MAXIMUM MARGIN,How many MLAs won with more than one lakh votes in 2017 election?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Year=2017 AND Position=1 AND Votes>100000,
23,MAXIMUM MARGIN,How many MLAs won with more than Fifty thousand votes in 2022 election?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Votes > 50000 AND Year = 2022 AND Position = 1,
24,MAXIMUM MARGIN,How many MLAs won with more than Fifty thousand votes in 2017 election?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Votes > 50000 AND Year = 2017 AND Position = 1,
25,MAXIMUM MARGIN,How many MLAs won with more than Twenty Five thousand votes in 2022 election?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Votes > 25000 AND Year = 2022 AND Position = 1,
26,MAXIMUM MARGIN,How many MLAs won with more than Twenty Five thousand votes in 2017 election?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Votes > 25000 AND Year = 2017 AND Position = 1,
27,MAXIMUM MARGIN,Who registered the highest victory margin in the 2022 election?,SELECT Candidate_Name FROM Uttar_Pradesh_AE WHERE Year=2022 AND Position=1 ORDER BY Margin DESC LIMIT 1,
28,MAXIMUM MARGIN,Who registered the highest victory margin in the 2017 election?,SELECT Candidate_Name FROM Uttar_Pradesh_AE WHERE Year=2017 AND Position=1 ORDER BY Margin DESC LIMIT 1,
29,MAXIMUM MARGIN,Who registered the highest victory margin in the last five elections?,"SELECT Candidate_Name FROM Uttar_Pradesh_AE WHERE Year IN (2022, 2017, 2012, 2007, 2002) AND Position = 1 ORDER BY Margin DESC LIMIT 1",
30,MAXIMUM MARGIN,How many MLAs of BJP have victory margin over ten thousand votes in 2022 election?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Party='BJP' AND Margin>10000 AND Year=2022 AND Position=1,
31,MAXIMUM MARGIN,How many MLAs of Congress have victory margin over ten thousand votes in 2022 election?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Party='INC' AND Margin>10000 AND Year=2022 AND Position=1,
32,MAXIMUM MARGIN,How many MLAs of BSP have victory margin over ten thousand votes in 2022 election?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Party='BSP' AND Margin>10000 AND Year=2022 AND Position=1,
33,MAXIMUM MARGIN,How many MLAs of SP have victory margin over ten thousand votes in 2022 election?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Party='SP' AND Margin>10000 AND Year=2022 AND Position=1,
34,MAXIMUM MARGIN,How many MLAs of BJP have victory margin over ten thousand votes in 2017 election?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Party='BJP' AND Margin>10000 AND Year=2017 AND Position=1,
35,MAXIMUM MARGIN,How many MLAs of Congress have victory margin over ten thousand votes in 2017 election?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Party='INC' AND Margin>10000 AND Year=2017 AND Position=1,
36,MAXIMUM MARGIN,How many MLAs of BSP have victory margin over ten thousand votes in 2017 election?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Party='BSP' AND Margin>10000 AND Year=2017 AND Position=1,
37,MAXIMUM MARGIN,How many MLAs of SP have victory margin over ten thousand votes in 2017 election?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Party='SP' AND Margin>10000 AND Year=2017 AND Position=1,
38,MINIMUM MARGIN,How many MLAs lost with less than hundred votes in 2022 election?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Votes < 100 AND Year = 2022 AND Position <> 1,
39,MINIMUM MARGIN,How many MLAs lost with less than hundred votes in 2017 election?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Year=2017 AND Position<>1 AND Votes<100,
40,MINIMUM MARGIN,How many MLAs lost with less than five hundred votes in 2022 election?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Votes < 500 AND Year = 2022 AND Position != 1,
41,MINIMUM MARGIN,How many MLAs lost with less than five hundred votes in 2017 election?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Year=2017 AND Position!=1 AND Votes<500,
42,MINIMUM MARGIN,How many MLAs lost with less than one thousand votes in 2022 election?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Votes < 1000 AND Year = 2022 AND Position <> 1,
43,MINIMUM MARGIN,How many MLAs lost with less than one thousand votes in 2017 election?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Year=2017 AND Position!=1 AND Votes<1000,
44,MINIMUM MARGIN,How many MLAs lost with less than five thousand votes in 2022 election?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Votes < 5000 AND Year = 2022 AND Position <> 1,
45,MINIMUM MARGIN,How many MLAs lost with less than five thousand votes in 2017 election?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Year=2017 AND Position!=1 AND Votes<5000,
46,MINIMUM MARGIN,Who registered the lowest victory margin in the 2022 election?,SELECT Candidate_Name FROM Uttar_Pradesh_AE WHERE Year=2022 AND Position=1 ORDER BY Margin ASC LIMIT 1,
47,MINIMUM MARGIN,Who registered the lowest victory margin in the 2017 election?,SELECT Candidate_Name FROM Uttar_Pradesh_AE WHERE Year=2017 AND Position=1 ORDER BY Margin ASC LIMIT 1,
48,MINIMUM MARGIN,Who registered the lowest victory margin in the last five elections?,"SELECT Candidate_Name FROM Uttar_Pradesh_AE WHERE Position=1 AND Year IN (2022, 2017, 2012, 2007, 2002) ORDER BY Margin ASC LIMIT 1",
49,MINIMUM MARGIN,How many MLAs of BJP have victory margin less than five thousand votes in 2022 election?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Party='BJP' AND Margin < 5000 AND Year=2022 AND Position=1,
50,MINIMUM MARGIN,How many MLAs of Congress have victory margin less than five thousand votes in 2022 election?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Party='INC' AND Margin<5000 AND Year=2022 AND Position=1,
51,MINIMUM MARGIN,How many MLAs of BSP have victory margin less than five thousand votes in 2022 election?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Party='BSP' AND Margin < 5000 AND Year=2022 AND Position=1,
52,MINIMUM MARGIN,How many MLAs of SP have victory margin less than five thousand votes in 2022 election?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Party='SP' AND Margin < 5000 AND Year=2022 AND Position=1,
53,MINIMUM MARGIN,How many MLAs of BJP have victory margin less than five thousand votes in 2017 election?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Party='BJP' AND Margin < 5000 AND Year=2017 AND Position=1,
54,MINIMUM MARGIN,How many MLAs of Congress have victory margin less than five thousand votes in 2017 election?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Party='INC' AND Margin<5000 AND Year=2017 AND Position=1,
55,MINIMUM MARGIN,How many MLAs of BSP have victory margin less than five thousand votes in 2017election?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Party='BSP' AND Margin < 5000 AND Year=2017 AND Position=1,
56,MINIMUM MARGIN,How many MLAs of SP have victory margin less than five thousand votes in 2017 election?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Party='SP' AND Margin<5000 AND Year=2017 AND Position=1,
57,MAXIMUM CANDIDATES IN A CONSTITUENCY,Which constituency recorded the largest number of candidates in 2022?,SELECT Constituency_Name FROM Uttar_Pradesh_AE WHERE Year=2022 GROUP BY Constituency_Name ORDER BY COUNT(Candidate_Name) DESC LIMIT 1;,
58,MAXIMUM CANDIDATES IN A CONSTITUENCY,How many candidates contested in 2022 from Aligarh constituency?,SELECT COUNT(Candidate_Name) FROM Uttar_Pradesh_AE WHERE Year=2022 AND Constituency_Name='Aligarh',
59,MAXIMUM CANDIDATES IN A CONSTITUENCY,Which constituency recorded the largest number of candidates in 2017?,SELECT Constituency_Name FROM Uttar_Pradesh_AE WHERE Year=2017 GROUP BY Constituency_Name ORDER BY COUNT(Candidate_Name) DESC LIMIT 1;,
60,MAXIMUM CANDIDATES IN A CONSTITUENCY,How many candidates contested in 2017 from Aligarh constituency?,SELECT COUNT(Candidate_Name) FROM Uttar_Pradesh_AE WHERE Year=2017 AND Constituency_Name='Aligarh',
61,MAXIMUM CANDIDATES IN A CONSTITUENCY,What was the highest margin of victory recorded in the constituency where maximum candidates contested the polls in 2022?,SELECT MAX(Margin) FROM Uttar_Pradesh_AE WHERE Year=2022 AND No_Cand=(SELECT MAX(No_Cand) FROM Uttar_Pradesh_AE WHERE Year=2022) AND Position=1,
62,MAXIMUM CANDIDATES IN A CONSTITUENCY,What was the voter-turnout in constituency with the largest number of candidates?,SELECT MAX(Turnout_Percentage) FROM Uttar_Pradesh_AE WHERE No_Cand = (SELECT MAX(No_Cand) FROM Uttar_Pradesh_AE),
63,MAXIMUM CANDIDATES IN A CONSTITUENCY,How many candidates lost their deposits from the constituency with maximum candidates in the 2022 elections?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Constituency_No = (SELECT Constituency_No FROM Uttar_Pradesh_AE WHERE Year = 2022 GROUP BY Constituency_No ORDER BY COUNT(*) DESC LIMIT 1) AND Deposit_Lost = 1,
64,MAXIMUM CANDIDATES IN A CONSTITUENCY,How many candidates lost their deposits from the constituency with maximum candidates in the 2017 elections?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Year=2017 AND Constituency_No=(SELECT Constituency_No FROM Uttar_Pradesh_AE WHERE Year=2017 GROUP BY Constituency_No ORDER BY COUNT(Candidate_Name) DESC LIMIT 1) AND Deposit_Lost=1,
65,MINIMUM CANDIDATES IN THE CONSTITUENCY,Which constituency recorded the minimum number of candidates in 2022?,SELECT Constituency_Name FROM Uttar_Pradesh_AE WHERE Year=2022 GROUP BY Constituency_Name HAVING COUNT(Candidate_Name) = (SELECT MIN(No_Cand) FROM Uttar_Pradesh_AE WHERE Year=2022),
66,MINIMUM CANDIDATES IN THE CONSTITUENCY,How many candidates contested from the constituency where least number of candidates contested the polls in 2022?,SELECT COUNT(Candidate_Name) FROM Uttar_Pradesh_AE WHERE Year=2022 AND Constituency_No=(SELECT Constituency_No FROM Uttar_Pradesh_AE WHERE Year=2022 GROUP BY Constituency_No ORDER BY COUNT(Candidate_Name) ASC LIMIT 1),
67,MINIMUM CANDIDATES IN THE CONSTITUENCY,Which constituency recorded the minimum number of candidates in 2017?,SELECT Constituency_Name FROM Uttar_Pradesh_AE WHERE Year=2017 GROUP BY Constituency_Name HAVING COUNT(Candidate_Name) = (SELECT MIN(No_Cand) FROM Uttar_Pradesh_AE WHERE Year=2017),
68,MINIMUM CANDIDATES IN THE CONSTITUENCY,How many candidates contested from the constituency where least number of candidates contested the polls in 2017?,SELECT COUNT(Candidate_Name) FROM Uttar_Pradesh_AE WHERE Year=2017 AND Constituency_No=(SELECT Constituency_No FROM Uttar_Pradesh_AE WHERE Year=2017 GROUP BY Constituency_No ORDER BY COUNT(Candidate_Name) ASC LIMIT 1),
69,MINIMUM CANDIDATES IN THE CONSTITUENCY,What was the margin of victory recorded in the constituency where least number of candidates contested the polls in 2022?,SELECT Margin FROM Uttar_Pradesh_AE WHERE Year = 2022 AND No_Cand = (SELECT MIN(No_Cand) FROM Uttar_Pradesh_AE WHERE Year = 2022) AND Position = 1,
70,MINIMUM CANDIDATES IN THE CONSTITUENCY,What was the voter-turnout in a constituency with the least number of candidates 2017?,SELECT MIN(Turnout_Percentage) FROM Uttar_Pradesh_AE WHERE Year=2017 AND No_Cand=(SELECT MIN(No_Cand) FROM Uttar_Pradesh_AE WHERE Year=2017),
71,MINIMUM CANDIDATES IN THE CONSTITUENCY,How many candidates lost their deposits from the constituency with least number of candidates in the 2022 elections?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Constituency_No = (SELECT Constituency_No FROM Uttar_Pradesh_AE WHERE Year = 2022 GROUP BY Constituency_No ORDER BY COUNT(*) ASC LIMIT 1) AND Deposit_Lost = 1,
72,MINIMUM CANDIDATES IN THE CONSTITUENCY,How many candidates lost their deposits from the constituency with least number of candidates in the 2017 elections?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Year=2017 AND Deposit_Lost=1 AND Constituency_No=(SELECT Constituency_No FROM Uttar_Pradesh_AE WHERE Year=2017 GROUP BY Constituency_No ORDER BY COUNT(*) ASC LIMIT 1),
73,NUMBER OF CANDIDATES FIELDED BY PROMINENT PARTIES IN ELECTIONS,Number of candidates fielded by the BJP in 2022?,SELECT COUNT(Candidate_Name) FROM Uttar_Pradesh_AE WHERE Party='BJP' AND Year=2022,
74,NUMBER OF CANDIDATES FIELDED BY PROMINENT PARTIES IN ELECTIONS,Number of candidates fielded by the SP in 2022?,SELECT COUNT(Candidate_Name) FROM Uttar_Pradesh_AE WHERE Party='SP' AND Year=2022,
75,NUMBER OF CANDIDATES FIELDED BY PROMINENT PARTIES IN ELECTIONS,Number of candidates fielded by the BSP in 2022?,SELECT COUNT(Candidate_Name) FROM Uttar_Pradesh_AE WHERE Party='BSP' AND Year=2022,
76,NUMBER OF CANDIDATES FIELDED BY PROMINENT PARTIES IN ELECTIONS,Number of candidates fielded by the Congress in 2022?,SELECT COUNT(Candidate_Name) FROM Uttar_Pradesh_AE WHERE Party='INC' AND Year=2022,
77,NUMBER OF CANDIDATES FIELDED BY PROMINENT PARTIES IN ELECTIONS,Number of candidates fielded by the BJP in 2017?,SELECT COUNT(Candidate_Name) FROM Uttar_Pradesh_AE WHERE Party='BJP' AND Year=2017,
78,NUMBER OF CANDIDATES FIELDED BY PROMINENT PARTIES IN ELECTIONS,How many candidates were Number of candidates fielded by the SP in 2017?,SELECT COUNT(Candidate_Name) FROM Uttar_Pradesh_AE WHERE Party='SP' AND Year=2017,
79,NUMBER OF CANDIDATES FIELDED BY PROMINENT PARTIES IN ELECTIONS,How many candidates were fielded by the BSP in 2017?,SELECT COUNT(Candidate_Name) FROM Uttar_Pradesh_AE WHERE Party='BSP' AND Year=2017,
80,NUMBER OF CANDIDATES FIELDED BY PROMINENT PARTIES IN ELECTIONS,How many candidates were fielded by the Congress in 2017?,SELECT COUNT(Candidate_Name) FROM Uttar_Pradesh_AE WHERE Party='INC' AND Year=2017,
81,NUMBER OF CANDIDATES FIELDED BY PROMINENT PARTIES IN ELECTIONS,How many independant candidates contested in 2017?,SELECT COUNT(Candidate_Name) FROM Uttar_Pradesh_AE WHERE Party='IND' AND Year=2017,
82,VOTER TURNOUT - URBAN/ RURAL,What is the number of urban constituencies in Uttar Pradesh?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Constituency_Type = 'Urban',
83,VOTER TURNOUT - URBAN/ RURAL,What is the number of rural constituencies in Uttar Pradesh?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Constituency_Type = 'Rural',
84,VOTER TURNOUT - URBAN/ RURAL,What is the percentage of rural electors in the state in 2022 polls?,SELECT (SUM(Electors) / (SELECT SUM(Electors) FROM Uttar_Pradesh_AE WHERE Year = 2022 AND Sub_Region = 'Rural')) * 100 FROM Uttar_Pradesh_AE WHERE Year = 2022 AND Sub_Region = 'Rural',
85,VOTER TURNOUT - URBAN/ RURAL,What is the percentage of urban electors in the state in 2022 polls?,SELECT (SUM(Electors) / (SELECT SUM(Electors) FROM Uttar_Pradesh_AE WHERE Year = 2022)) * 100 FROM Uttar_Pradesh_AE WHERE Year = 2022 AND Sub_Region = 'Urban',
86,VOTER TURNOUT - URBAN/ RURAL,What is the percentage of rural electors in the state in 2017 polls?,SELECT (SUM(Electors) / (SELECT SUM(Electors) FROM Uttar_Pradesh_AE WHERE Year = 2017 AND Sub_Region = 'Rural')) * 100 FROM Uttar_Pradesh_AE WHERE Year = 2017 AND Sub_Region = 'Rural',
87,VOTER TURNOUT - URBAN/ RURAL,What is the percentage of urban electors in the state in 2017 polls?,SELECT (SUM(Electors) / (SELECT SUM(Electors) FROM Uttar_Pradesh_AE WHERE Year = 2017)) * 100 FROM Uttar_Pradesh_AE WHERE Year = 2017 AND Sub_Region = 'Urban',
88,VOTER TURNOUT - URBAN/ RURAL,Can you share the total voter turnout from the rural seats in 2022 polls?,SELECT SUM(Turnout_Percentage) FROM Uttar_Pradesh_AE WHERE Constituency_Type = 'Rural' AND Year = 2022,
89,VOTER TURNOUT - URBAN/ RURAL,Can you share the total voter turnout from the urban seats in 2022 polls?,SELECT SUM(Turnout_Percentage) FROM Uttar_Pradesh_AE WHERE Constituency_Type = 'Urban' AND Year = 2022,
90,VOTER TURNOUT - URBAN/ RURAL,Can you share the total voter turnout from the rural seats in 2017 polls?,SELECT SUM(Turnout_Percentage) FROM Uttar_Pradesh_AE WHERE Constituency_Type = 'Rural' AND Year = 2017,
